epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.778,1.49708,4.18203,1.89857,0.00752,0.93333,0.46283,0.22669,1.01051,4.00441,1.41804,0.000462724,0.000462724,0.000462724
2,59.0625,1.1135,3.49292,1.55445,0.58565,0.13333,0.53718,0.32927,0.99886,3.81204,1.43441,0.00084609,0.00084609,0.00084609
3,87.9574,1.19281,3.24244,1.65144,0.51904,0.26667,0.55624,0.28343,1.10497,3.69757,1.4469,0.00113514,0.00113514,0.00113514
4,116.763,1.27119,3.07577,1.59427,0.47045,0.86667,0.72711,0.3509,1.46297,3.33995,1.86812,0.00100459,0.00100459,0.00100459
5,145.608,1.25077,2.95726,1.52719,0.78821,0.89966,0.95639,0.50215,1.44031,3.13958,1.75021,0.000863116,0.000863116,0.000863116
6,174.431,1.24821,2.71951,1.56447,0.75324,1,0.92889,0.67862,1.05059,2.65136,1.33733,0.000721645,0.000721645,0.000721645
7,203.252,1.13023,2.50291,1.48146,0.95535,0.75046,0.951,0.5886,1.40265,2.57557,1.61879,0.000580174,0.000580174,0.000580174
8,231.786,1.10071,2.35318,1.40462,0.89653,0.99266,0.995,0.73179,1.01094,2.25648,1.34552,0.000438703,0.000438703,0.000438703
9,260.419,1.05539,2.15771,1.36876,0.97117,0.87248,0.995,0.61894,1.27746,2.2658,1.51742,0.000297232,0.000297232,0.000297232
10,289.006,1.11261,2.14311,1.44953,0.95939,0.8762,0.995,0.65519,1.30252,2.24814,1.5288,0.000155761,0.000155761,0.000155761
